url,keyword,url_length,num_dots,num_slashes,keyword_length,has_numbers,has_special_chars,tld
http://gameorleesr5536gkcztpkr6747lghhcwonkfcatmhi4cv3pdzgybjqd.onion,weapons sales,69,1,2,13,1,1,onion
http://4d6upok2zgwnvyieuuug2z7pgirudhkznstexzafb3hzufu35tolqzad.onion,weapons sales,69,1,2,13,1,1,onion
http://qzqyhhnhxkj6cxwoo3deq5gs6i55yt3cefngcfmosj5et4typud3mgid.onion,weapons sales,69,1,2,13,1,1,onion
http://bmguns7xglvmnlnz5nd543dczp3fnsfd6jecwpjomvhov4dn4ikxmqyd.onion,weapons sales,69,1,2,13,1,1,onion
http://flptyqdhjskku3uawdco4rmm2pykzynfgvp3xjqmkubbjnwasbvtyead.onion,weapons sales,69,1,2,13,1,1,onion
http://w6oef77mz6szwtzd2f7cafb7kop35wuoibofsu2bb7h6i2fhlt76llqd.onion,weapons sales,69,1,2,13,1,1,onion
http://megalzwink435kangsseahebpbp3teedi4jjt64ne2g6d3oqy3qlweid.onion,weapons sales,69,1,2,13,1,1,onion
http://megalqnu2vwauvg26o7t5gqbg7gtccfth3mzgffm3jrcme3y242vmuqd.onion,weapons sales,69,1,2,13,1,1,onion
http://5cjzn74dpcafedj4dngccvyvtmo7bgtmzibyurfc7lkff6q7ep4quwad.onion,cybercrime,69,1,2,10,1,1,onion
http://deepweb4epga7mkmlku53op47jinc3mzwudmruixr6gvra3xqqnlhwad.onion/catalog/ncidetfs7banpz2d7vpndev5somwoki5vwdpfty2k7javniujekit6ad.onion,cybercrime,140,2,4,10,1,1,onion
http://loz5rsgvzhynjzuyyhcyyjk47lzmrv5fwrw34vbazdzw7e5xltta77yd.onion,cybercrime,69,1,2,10,1,1,onion
http://pornaqsrm4i7zglaed77hz4shgo3aqktjxt3if2mpvuhxstb6ocst5qd.onion,cybercrime,69,1,2,10,1,1,onion
http://sipzobwbq4vhrvrnw7vamfgyydhgerncn4n7obftvkmkfx66zmsapxid.onion,cybercrime,69,1,2,10,1,1,onion
http://bsteal7i7gy7pdq6iwcbjsfg7chen3wezhjzrm5t3367lkr3rej5xlyd.onion,illegal online gambling,69,1,2,23,1,1,onion
http://xxkdkmhcrw7mug2nhtorvsusrydoqtfxggeu3rxcxglh3jk7ltmlmeqd.onion,scams,69,1,2,5,1,1,onion
http://pro325r64gqr6khitivebtdmo2juja4z524x75vcgzoyffbcvxkvsryd.onion,scams,69,1,2,5,1,1,onion
http://2idgwnm7sxte4sgf6o4lmgd5hyjxl3cxrqder4trjvtumdanvultaryd.onion,scams,69,1,2,5,1,1,onion
http://scammmz5id5iy7uds4c3vyvm6a2aqudehkmamh6joytkcn33dnixzaid.onion,scams,69,1,2,5,1,1,onion
http://scamm5vsicdmjwh63gnedmdyytrjgd2mzhpraarh7q2ybjacslqomkid.onion,scams,69,1,2,5,1,1,onion
http://torscamn4rshzrsbasnzigyez3svdzssgmkwfhig6kxnqnuq7oxwzpid.onion,scams,69,1,2,5,1,1,onion
http://qcwouafqmhi6yq3xknbbct7bxwf3bo7gwzbaw4m2xkmerr56xvp3uwyd.onion,scams,69,1,2,5,1,1,onion
http://probx5exd4awd5pwnrbvcuzih7ykm4ibblrq6q4i4pgj242s5lcxx4id.onion,scams,69,1,2,5,1,1,onion
http://blkh4ylofapg42tj6ht565klld5i42dhjtysvsnnswte4xt4uvnfj5qd.onion,scams,69,1,2,5,1,1,onion
http://27wyhuamw5mcwqdtc3t3i6jpes6m66glmxjtgx7mpkhplniituxin6qd.onion,scams,69,1,2,5,1,1,onion
http://chbetteu26scwlrvhxhn6o64wxlg7ujvm5fbxn4zb4qwszjmtarkntid.onion,scams,69,1,2,5,1,1,onion
http://trusmmr4lwmhgn6bc4aqzi3zhniigifcibbj5habkghbspaztociltqd.onion,scams,69,1,2,5,1,1,onion
http://legitwasqfy7xw4v6gkiwzdsaf77pke3dmkmjsakseaqa4eh4gjx3tid.onion,scams,69,1,2,5,1,1,onion
http://fletxru2nghc5wc2fbahizlbuozqgp4mrft6wv7srijgkfpxqe42k5id.onion,scams,69,1,2,5,1,1,onion
http://ro34y3ufzq32qazmsmtim7yezlgtip225ipe3leavphjj77sswgc22yd.onion,scams,69,1,2,5,1,1,onion
http://hellccam72ck3wajux74nordnnx6aoj5odun2bqnt6vggfz5nca4noyd.onion,scams,69,1,2,5,1,1,onion
http://legitv6lixtir6j67povearmupo7luhcf5tbk674ekdha2ebbecatcqd.onion,scams,69,1,2,5,1,1,onion
http://killerlau2toc2hcva6aapidtbhsnrugo54mnndy7zlpvxhuyinodlyd.onion,assassins for hire,69,1,2,18,1,1,onion
http://tbtjny775ennze666qkhbek6ujejxen7kwms2whoypvbrja7cbeqi4yd.onion,assassins for hire,69,1,2,18,1,1,onion
